DATE,AGSEBMPTCMAHDFS
1945-12-31,0.0
1946-03-31,
1946-06-30,
1946-09-30,
1946-12-31,0.0
1947-03-31,
1947-06-30,
1947-09-30,
1947-12-31,0.0
1948-03-31,
1948-06-30,
1948-09-30,
1948-12-31,4.0
1949-03-31,
1949-06-30,
1949-09-30,
1949-12-31,7.0
1950-03-31,
1950-06-30,
1950-09-30,
1950-12-31,32.0
1951-03-31,
1951-06-30,
1951-09-30,
1951-12-31,43.0
1952-03-31,45.0
1952-06-30,47.0
1952-09-30,50.0
1952-12-31,53.0
1953-03-31,55.0
1953-06-30,56.0
1953-09-30,58.0
1953-12-31,60.0
1954-03-31,61.0
1954-06-30,62.0
1954-09-30,70.0
1954-12-31,78.0
1955-03-31,86.0
1955-06-30,95.0
1955-09-30,105.0
1955-12-31,116.0
1956-03-31,127.0
1956-06-30,138.0
1956-09-30,143.0
1956-12-31,149.0
1957-03-31,157.0
1957-06-30,166.0
1957-09-30,170.0
1957-12-31,173.0
1958-03-31,175.0
1958-06-30,177.0
1958-09-30,183.0
1958-12-31,190.0
1959-03-31,195.0
1959-06-30,201.0
1959-09-30,202.0
1959-12-31,203.0
1960-03-31,204.0
1960-06-30,206.0
1960-09-30,204.0
1960-12-31,201.0
1961-03-31,201.0
1961-06-30,200.0
1961-09-30,244.0
1961-12-31,290.0
1962-03-31,312.0
1962-06-30,336.0
1962-09-30,373.0
1962-12-31,413.0
1963-03-31,453.0
1963-06-30,495.0
1963-09-30,509.0
1963-12-31,525.0
1964-03-31,551.0
1964-06-30,581.0
1964-09-30,602.0
1964-12-31,624.0
1965-03-31,676.0
1965-06-30,730.0
1965-09-30,797.0
1965-12-31,869.0
1966-03-31,949.0
1966-06-30,1033.0
1966-09-30,1167.0
1966-12-31,1314.0
1967-03-31,1480.0
1967-06-30,1660.0
1967-09-30,1821.0
1967-12-31,1988.0
1968-03-31,2169.0
1968-06-30,2359.0
1968-09-30,2444.0
1968-12-31,2526.0
1969-03-31,2616.0
1969-06-30,2701.0
1969-09-30,2949.0
1969-12-31,3204.0
1970-03-31,3499.0
1970-06-30,3713.0
1970-09-30,4132.0
1970-12-31,4755.0
1971-03-31,5957.0
1971-06-30,7572.0
1971-09-30,8369.0
1971-12-31,9516.0
1972-03-31,10542.0
1972-06-30,11748.0
1972-09-30,12815.0
1972-12-31,14404.0
1973-03-31,15160.0
1973-06-30,16615.0
1973-09-30,17057.0
1973-12-31,18040.0
1974-03-31,19709.0
1974-06-30,20132.0
1974-09-30,20537.0
1974-12-31,21458.0
1975-03-31,24420.0
1975-06-30,25603.0
1975-09-30,26785.0
1975-12-31,28511.0
1976-03-31,31152.0
1976-06-30,34016.0
1976-09-30,36984.0
1976-12-31,40693.0
1977-03-31,45418.0
1977-06-30,47980.0
1977-09-30,52412.0
1977-12-31,56803.0
1978-03-31,59512.0
1978-06-30,62611.0
1978-09-30,65755.0
1978-12-31,70407.0
1979-03-31,75627.0
1979-06-30,80506.0
1979-09-30,87309.0
1979-12-31,94778.0
1980-03-31,99954.0
1980-06-30,104016.0
1980-09-30,109691.0
1980-12-31,113959.0
1981-03-31,117260.0
1981-06-30,120851.0
1981-09-30,124370.0
1981-12-31,128986.0
1982-03-31,137628.0
1982-06-30,146951.0
1982-09-30,160231.0
1982-12-31,178519.0
1983-03-31,196517.0
1983-06-30,213061.0
1983-09-30,231538.0
1983-12-31,244807.0
1984-03-31,255930.0
1984-06-30,263344.0
1984-09-30,275538.0
1984-12-31,288987.0
1985-03-31,304033.0
1985-06-30,321090.0
1985-09-30,343332.0
1985-12-31,367864.0
1986-03-31,394587.0
1986-06-30,429072.0
1986-09-30,475896.0
1986-12-31,531591.0
1987-03-31,575435.0
1987-06-30,615142.0
1987-09-30,647084.0
1987-12-31,669394.0
1988-03-31,677841.0
1988-06-30,695315.0
1988-09-30,721137.0
1988-12-31,745287.0
1989-03-31,770459.0
1989-06-30,794482.0
1989-09-30,827012.0
1989-12-31,869549.0
1990-03-31,905165.0
1990-06-30,944198.0
1990-09-30,978533.0
1990-12-31,1019861.0
1991-03-31,1050307.0
1991-06-30,1085984.0
1991-09-30,1123313.0
1991-12-31,1156489.0
1992-03-31,1179728.0
1992-06-30,1218988.0
1992-09-30,1243647.0
1992-12-31,1272047.0
1993-03-31,1299796.0
1993-06-30,1301300.0
1993-09-30,1330555.0
1993-12-31,1356766.0
1994-03-31,1399296.0
1994-06-30,1432417.0
1994-09-30,1454933.0
1994-12-31,1472405.0
1995-03-31,1480246.0
1995-06-30,1499398.0
1995-09-30,1527030.0
1995-12-31,1570731.0
1996-03-31,1600095.0
1996-06-30,1643705.0
1996-09-30,1679364.0
1996-12-31,1711708.0
1997-03-31,1740359.0
1997-06-30,1762521.0
1997-09-30,1791088.0
1997-12-31,1826294.0
1998-03-31,1847555.0
1998-06-30,1909389.0
1998-09-30,1976247.0
1998-12-31,2018969.0
1999-03-31,2113010.0
1999-06-30,2183642.0
1999-09-30,2247217.0
1999-12-31,2293531.0
2000-03-31,2323499.0
2000-06-30,2356632.0
2000-09-30,2415895.0
2000-12-31,2493245.0
2001-03-31,2535824.0
2001-06-30,2637390.0
2001-09-30,2760457.0
2001-12-31,2831784.0
2002-03-31,2956420.0
2002-06-30,3042612.0
2002-09-30,3085197.0
2002-12-31,3158603.0
2003-03-31,3230475.0
2003-06-30,3292961.0
2003-09-30,3375161.0
2003-12-31,3343251.0
2004-03-31,3346388.0
2004-06-30,3366532.0
2004-09-30,3380765.0
2004-12-31,3384018.0
2005-03-31,3407181.0
2005-06-30,3442350.0
2005-09-30,3484951.0
2005-12-31,3548483.0
2006-03-31,3627218.0
2006-06-30,3691812.0
2006-09-30,3768725.0
2006-12-31,3841119.0
2007-03-31,3956458.0
2007-06-30,4077824.0
2007-09-30,4252616.0
2007-12-31,4464418.0
2008-03-31,4602238.0
2008-06-30,4760244.0
2008-09-30,4892653.0
2008-12-31,4961428.0
2009-03-31,5041969.0
2009-06-30,5170747.0
2009-09-30,5297548.0
2009-12-31,5376709.0
2010-03-31,987799.0
2010-06-30,1054075.0
2010-09-30,1103513.0
2010-12-31,1146814.0
2011-03-31,1194287.0
2011-06-30,1243237.0
2011-09-30,1284499.0
2011-12-31,1311884.0
2012-03-31,1336809.0
2012-06-30,1383839.0
2012-09-30,1414356.0
2012-12-31,1442727.0
2013-03-31,1468060.0
2013-06-30,1502437.0
2013-09-30,1544992.0
2013-12-31,1573512.0
2014-03-31,1589754.0
2014-06-30,1603922.0
2014-09-30,1627514.0
2014-12-31,1648504.0
2015-03-31,1646186.0
2015-06-30,1677244.0
2015-09-30,1729458.0
2015-12-31,1775452.0
2016-03-31,1803851.0
2016-06-30,1843974.0
2016-09-30,1885329.0
2016-12-31,1932958.0
2017-03-31,1977111.0
2017-06-30,2022780.0
2017-09-30,2076398.0
2017-12-31,2126459.0
2018-03-31,2161480.0
2018-06-30,2200202.0
