DATE,BOGZ1FL673065105Q
1945-10-01,0.0
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,0.0
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,0.0
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,0.0
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,0.0
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,0.0
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,0.0
1952-01-01,0.0
1952-04-01,0.0
1952-07-01,0.0
1952-10-01,0.0
1953-01-01,0.0
1953-04-01,0.0
1953-07-01,0.0
1953-10-01,0.0
1954-01-01,0.0
1954-04-01,0.0
1954-07-01,0.0
1954-10-01,0.0
1955-01-01,0.0
1955-04-01,0.0
1955-07-01,0.0
1955-10-01,0.0
1956-01-01,0.0
1956-04-01,0.0
1956-07-01,0.0
1956-10-01,0.0
1957-01-01,0.0
1957-04-01,0.0
1957-07-01,0.0
1957-10-01,0.0
1958-01-01,0.0
1958-04-01,0.0
1958-07-01,0.0
1958-10-01,0.0
1959-01-01,0.0
1959-04-01,0.0
1959-07-01,0.0
1959-10-01,0.0
1960-01-01,0.0
1960-04-01,0.0
1960-07-01,0.0
1960-10-01,0.0
1961-01-01,0.0
1961-04-01,0.0
1961-07-01,0.0
1961-10-01,0.0
1962-01-01,0.0
1962-04-01,0.0
1962-07-01,0.0
1962-10-01,0.0
1963-01-01,0.0
1963-04-01,0.0
1963-07-01,0.0
1963-10-01,0.0
1964-01-01,0.0
1964-04-01,0.0
1964-07-01,0.0
1964-10-01,0.0
1965-01-01,0.0
1965-04-01,0.0
1965-07-01,0.0
1965-10-01,0.0
1966-01-01,0.0
1966-04-01,0.0
1966-07-01,0.0
1966-10-01,0.0
1967-01-01,0.0
1967-04-01,0.0
1967-07-01,0.0
1967-10-01,0.0
1968-01-01,0.0
1968-04-01,0.0
1968-07-01,0.0
1968-10-01,0.0
1969-01-01,0.0
1969-04-01,0.0
1969-07-01,0.0
1969-10-01,0.0
1970-01-01,0.0
1970-04-01,0.0
1970-07-01,0.0
1970-10-01,0.0
1971-01-01,0.0
1971-04-01,0.0
1971-07-01,0.0
1971-10-01,0.0
1972-01-01,0.0
1972-04-01,0.0
1972-07-01,0.0
1972-10-01,0.0
1973-01-01,0.0
1973-04-01,0.0
1973-07-01,0.0
1973-10-01,0.0
1974-01-01,0.0
1974-04-01,0.0
1974-07-01,0.0
1974-10-01,0.0
1975-01-01,0.0
1975-04-01,0.0
1975-07-01,0.0
1975-10-01,0.0
1976-01-01,0.0
1976-04-01,0.0
1976-07-01,0.0
1976-10-01,0.0
1977-01-01,0.0
1977-04-01,0.0
1977-07-01,0.0
1977-10-01,0.0
1978-01-01,0.0
1978-04-01,0.0
1978-07-01,0.0
1978-10-01,0.0
1979-01-01,0.0
1979-04-01,0.0
1979-07-01,0.0
1979-10-01,0.0
1980-01-01,0.0
1980-04-01,0.0
1980-07-01,0.0
1980-10-01,0.0
1981-01-01,0.0
1981-04-01,0.0
1981-07-01,0.0
1981-10-01,0.0
1982-01-01,0.0
1982-04-01,0.0
1982-07-01,0.0
1982-10-01,0.0
1983-01-01,0.0
1983-04-01,0.0
1983-07-01,0.0
1983-10-01,0.0
1984-01-01,0.0
1984-04-01,0.0
1984-07-01,0.0
1984-10-01,11000.0
1985-01-01,19153.0
1985-04-01,20969.0
1985-07-01,21561.0
1985-10-01,24016.0
1986-01-01,25472.0
1986-04-01,27637.0
1986-07-01,30032.0
1986-10-01,16617.0
1987-01-01,18500.0
1987-04-01,21444.0
1987-07-01,27262.0
1987-10-01,27800.0
1988-01-01,29241.0
1988-04-01,30749.0
1988-07-01,32782.0
1988-10-01,34865.0
1989-01-01,36027.0
1989-04-01,36869.0
1989-07-01,33685.0
1989-10-01,43325.0
1990-01-01,38165.0
1990-04-01,42863.0
1990-07-01,47260.0
1990-10-01,55029.0
1991-01-01,59430.0
1991-04-01,72495.0
1991-07-01,84444.0
1991-10-01,96732.0
1992-01-01,106805.0
1992-04-01,116694.0
1992-07-01,132056.0
1992-10-01,142265.0
1993-01-01,145921.0
1993-04-01,153845.0
1993-07-01,164005.0
1993-10-01,167899.0
1994-01-01,179616.0
1994-04-01,181026.0
1994-07-01,182173.0
1994-10-01,183002.0
1995-01-01,185999.0
1995-04-01,189046.0
1995-07-01,189468.0
1995-10-01,193759.0
1996-01-01,201074.0
1996-04-01,208206.0
1996-07-01,213851.0
1996-10-01,215357.0
1997-01-01,224576.0
1997-04-01,229072.0
1997-07-01,243766.0
1997-10-01,253804.0
1998-01-01,268984.0
1998-04-01,287717.0
1998-07-01,307746.0
1998-10-01,321869.0
1999-01-01,334008.0
1999-04-01,345311.0
1999-07-01,348527.0
1999-10-01,353744.0
2000-01-01,354338.0
2000-04-01,355761.0
2000-07-01,368991.0
2000-10-01,384835.0
2001-01-01,402816.0
2001-04-01,419771.0
2001-07-01,441525.0
2001-10-01,463899.0
2002-01-01,494656.0
2002-04-01,520664.0
2002-07-01,542262.0
2002-10-01,545462.0
2003-01-01,570346.0
2003-04-01,585258.0
2003-07-01,616540.0
2003-10-01,669041.0
2004-01-01,743121.0
2004-04-01,835473.0
2004-07-01,954877.0
2004-10-01,1059205.0
2005-01-01,1194255.0
2005-04-01,1342584.0
2005-07-01,1508777.0
2005-10-01,1671454.0
2006-01-01,1818834.0
2006-04-01,1964970.0
2006-07-01,2094416.0
2006-10-01,2196026.0
2007-01-01,2286422.0
2007-04-01,2354889.0
2007-07-01,2322420.0
2007-10-01,2234065.0
2008-01-01,2176418.0
2008-04-01,2086289.0
2008-07-01,2005964.0
2008-10-01,1919104.0
2009-01-01,1853661.0
2009-04-01,1751307.0
2009-07-01,1667206.0
2009-10-01,1592736.0
2010-01-01,1500559.0
2010-04-01,1437599.0
2010-07-01,1377506.0
2010-10-01,1315244.0
2011-01-01,1261052.0
2011-04-01,1211687.0
2011-07-01,1165505.0
2011-10-01,1120236.0
2012-01-01,1074184.0
2012-04-01,1025254.0
2012-07-01,981042.0
2012-10-01,938426.0
2013-01-01,903766.0
2013-04-01,857733.0
2013-07-01,821536.0
2013-10-01,792596.0
2014-01-01,768390.0
2014-04-01,744475.0
2014-07-01,718917.0
2014-10-01,699607.0
2015-01-01,679318.0
2015-04-01,654097.0
2015-07-01,625146.0
2015-10-01,602610.0
2016-01-01,583643.0
2016-04-01,564534.0
2016-07-01,541919.0
2016-10-01,518039.0
2017-01-01,507657.0
2017-04-01,493063.0
2017-07-01,482952.0
2017-10-01,474164.0
2018-01-01,466107.0
2018-04-01,472515.0
2018-07-01,472789.0
2018-10-01,467799.0
2019-01-01,466474.0
2019-04-01,467505.0
2019-07-01,462691.0
2019-10-01,445793.0
2020-01-01,455328.0
2020-04-01,444006.0
2020-07-01,431806.0
2020-10-01,410169.0
2021-01-01,396265.0
2021-04-01,393533.0
2021-07-01,401953.0
2021-10-01,412164.0
2022-01-01,418857.0
2022-04-01,424072.0
2022-07-01,427660.0
2022-10-01,423980.0
2023-01-01,427527.0
2023-04-01,429169.0
2023-07-01,431971.0
2023-10-01,434460.0
2024-01-01,445841.0
2024-04-01,454468.0
2024-07-01,464391.0
2024-10-01,478452.0
2025-01-01,491119.0
2025-04-01,503008.0
