observation_date,BOGZ1FL763065105Q
1945-10-01,9931
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,13349
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,16872
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,19821
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,22130
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,26541
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,30013
1952-01-01,30805
1952-04-01,32072
1952-07-01,33485
1952-10-01,34702
1953-01-01,35706
1953-04-01,37267
1953-07-01,38769
1953-10-01,40085
1954-01-01,41182
1954-04-01,42830
1954-07-01,44821
1954-10-01,46938
1955-01-01,48892
1955-04-01,51484
1955-07-01,54061
1955-10-01,55915
1956-01-01,57491
1956-04-01,59555
1956-07-01,61693
1956-10-01,63285
1957-01-01,64303
1957-04-01,65758
1957-07-01,67424
1957-10-01,68831
1958-01-01,69770
1958-04-01,71720
1958-07-01,74149
1958-10-01,76501
1959-01-01,78365
1959-04-01,81129
1959-07-01,84055
1959-10-01,86298
1960-01-01,87772
1960-04-01,89739
1960-07-01,92065
1960-10-01,94001
1961-01-01,95443
1961-04-01,97998
1961-07-01,100700
1961-10-01,103273
1962-01-01,104939
1962-04-01,108193
1962-07-01,111588
1962-10-01,114637
1963-01-01,117371
1963-04-01,121487
1963-07-01,125602
1963-10-01,129063
1964-01-01,131984
1964-04-01,135852
1964-07-01,139617
1964-10-01,142777
1965-01-01,145365
1965-04-01,148886
1965-07-01,152807
1965-10-01,156007
1966-01-01,158458
1966-04-01,161030
1966-07-01,163016
1966-10-01,164334
1967-01-01,164959
1967-04-01,167173
1967-07-01,170627
1967-10-01,173770
1968-01-01,175777
1968-04-01,178728
1968-07-01,182228
1968-10-01,185804
1969-01-01,188662
1969-04-01,192498
1969-07-01,196220
1969-10-01,197730
1970-01-01,198225
1970-04-01,200145
1970-07-01,203137
1970-10-01,205919
1971-01-01,208922
1971-04-01,214474
1971-07-01,221683
1971-10-01,227465
1972-01-01,233926
1972-04-01,242828
1972-07-01,253338
1972-10-01,262798
1973-01-01,270911
1973-04-01,282257
1973-07-01,291991
1973-10-01,298572
1974-01-01,303864
1974-04-01,311953
1974-07-01,317985
1974-10-01,321010
1975-01-01,323432
1975-04-01,330263
1975-07-01,337781
1975-10-01,345117
1976-01-01,353744
1976-04-01,366279
1976-07-01,380150
1976-10-01,392391
1977-01-01,403738
1977-04-01,424209
1977-07-01,444583
1977-10-01,463088
1978-01-01,476129
1978-04-01,495528
1978-07-01,517024
1978-10-01,536775
1979-01-01,548890
1979-04-01,567805
1979-07-01,585923
1979-10-01,598749
1980-01-01,606147
1980-04-01,610367
1980-07-01,622428
1980-10-01,636320
1981-01-01,641996
1981-04-01,652727
1981-07-01,659148
1981-10-01,661423
1982-01-01,658234
1982-04-01,654040
1982-07-01,639412
1982-10-01,625935
1983-01-01,624162
1983-04-01,630939
1983-07-01,647460
1983-10-01,661631
1984-01-01,672573
1984-04-01,696113
1984-07-01,714464
1984-10-01,724234
1985-01-01,730639
1985-04-01,742196
1985-07-01,759106
1985-10-01,773548
1986-01-01,771714
1986-04-01,782260
1986-07-01,793551
1986-10-01,801323
1987-01-01,790833
1987-04-01,818316
1987-07-01,840954
1987-10-01,843355
1988-01-01,882556
1988-04-01,908241
1988-07-01,943510
1988-10-01,965952
1989-01-01,974141
1989-04-01,993608
1989-07-01,1005085
1989-10-01,1005653
1990-01-01,1045733
1990-04-01,1054066
1990-07-01,1050524
1990-10-01,1031434
1991-01-01,1017547
1991-04-01,1014830
1991-07-01,994396
1991-10-01,991961
1992-01-01,985186
1992-04-01,972089
1992-07-01,974182
1992-10-01,968764
1993-01-01,960157
1993-04-01,980583
1993-07-01,989906
1993-10-01,1003984
1994-01-01,990135
1994-04-01,1010397
1994-07-01,1037465
1994-10-01,1067725
1995-01-01,1087530
1995-04-01,1109289
1995-07-01,1131678
1995-10-01,1127798
1996-01-01,1138900
1996-04-01,1153047
1996-07-01,1176253
1996-10-01,1189341
1997-01-01,1200243
1997-04-01,1230122
1997-07-01,1252309
1997-10-01,1264016
1998-01-01,1288701
1998-04-01,1289346
1998-07-01,1292722
1998-10-01,1327356
1999-01-01,1314264
1999-04-01,1331703
1999-07-01,1384216
1999-10-01,1424495
2000-01-01,1460574
2000-04-01,1522966
2000-07-01,1558500
2000-10-01,1555570
2001-01-01,1582566
2001-04-01,1610965
2001-07-01,1605624
2001-10-01,1641030
2002-01-01,1620279
2002-04-01,1666498
2002-07-01,1765758
2002-10-01,1849099
2003-01-01,1903782
2003-04-01,1994265
2003-07-01,2058018
2003-10-01,2050966
2004-01-01,2147518
2004-04-01,2261593
2004-07-01,2350466
2004-10-01,2440830
2005-01-01,2510881
2005-04-01,2613577
2005-07-01,2694861
2005-10-01,2730186
2006-01-01,2800324
2006-04-01,2891034
2006-07-01,2920618
2006-10-01,2933474
2007-01-01,2949414
2007-04-01,2993549
2007-07-01,3043823
2007-10-01,3068927
2008-01-01,3081698
2008-04-01,3020263
2008-07-01,2947461
2008-10-01,2887388
2009-01-01,2882985
2009-04-01,2837041
2009-07-01,2736552
2009-10-01,2700616
2010-01-01,2656845
2010-04-01,2626472
2010-07-01,2616486
2010-10-01,2618295
2011-01-01,2531112
2011-04-01,2512346
2011-07-01,2522679
2011-10-01,2538827
2012-01-01,2507194
2012-04-01,2512846
2012-07-01,2512076
2012-10-01,2501988
2013-01-01,2465776
2013-04-01,2438807
2013-07-01,2407172
2013-10-01,2385878
2014-01-01,2373718
2014-04-01,2392769
2014-07-01,2392051
2014-10-01,2390616
2015-01-01,2395717
2015-04-01,2419562
2015-07-01,2419703
2015-10-01,2433592
2016-01-01,2442440
2016-04-01,2484674
2016-07-01,2509551
2016-10-01,2510000
2017-01-01,2492212
2017-04-01,2525626
2017-07-01,2545075
2017-10-01,2556959
2018-01-01,2557451
2018-04-01,2570068
2018-07-01,2588032
2018-10-01,2585948
2019-01-01,2581097
2019-04-01,2614967
2019-07-01,2624630
2019-10-01,2638230
2020-01-01,2637001
2020-04-01,2628787
2020-07-01,2625166
2020-10-01,2581469
2021-01-01,2533397
2021-04-01,2531828
2021-07-01,2571342
2021-10-01,2606196
2022-01-01,2620853
2022-04-01,2725691
2022-07-01,2804010
2022-10-01,2852714
2023-01-01,2876532
2023-04-01,2892994
2023-07-01,2913911
2023-10-01,2930464
2024-01-01,2926906
2024-04-01,2947330
2024-07-01,2958131
2024-10-01,2968691
2025-01-01,2966205
2025-04-01,2992130
