DATE,HHMSDODNS
1945-12-31,18.706
1946-03-31,
1946-06-30,
1946-09-30,
1946-12-31,23.1
1947-03-31,
1947-06-30,
1947-09-30,
1947-12-31,28.267
1948-03-31,
1948-06-30,
1948-09-30,
1948-12-31,33.422
1949-03-31,
1949-06-30,
1949-09-30,
1949-12-31,37.406
1950-03-31,
1950-06-30,
1950-09-30,
1950-12-31,45.25
1951-03-31,
1951-06-30,
1951-09-30,
1951-12-31,51.792
1952-03-31,53.355
1952-06-30,54.952
1952-09-30,56.621
1952-12-31,58.416
1953-03-31,60.296
1953-06-30,62.384
1953-09-30,64.182
1953-12-31,65.938
1954-03-31,67.647
1954-06-30,69.787
1954-09-30,72.314
1954-12-31,75.356
1955-03-31,78.549
1955-06-30,81.888
1955-09-30,85.009
1955-12-31,87.936
1956-03-31,90.695
1956-06-30,93.542
1956-09-30,96.143
1956-12-31,98.745
1957-03-31,101.229
1957-06-30,103.274
1957-09-30,105.36
1957-12-31,107.374
1958-03-31,109.397
1958-06-30,111.383
1958-09-30,113.984
1958-12-31,117.177
1959-03-31,120.39
1959-06-30,123.583
1959-09-30,126.952
1959-12-31,130.099
1960-03-31,133.067
1960-06-30,135.591
1960-09-30,138.517
1960-12-31,141.378
1961-03-31,144.159
1961-06-30,146.812
1961-09-30,150.111
1961-12-31,154.027
1962-03-31,157.045
1962-06-30,160.433
1962-09-30,164.277
1962-12-31,168.307
1963-03-31,171.943
1963-06-30,175.98
1963-09-30,180.606
1963-12-31,185.106
1964-03-31,189.423
1964-06-30,193.538
1964-09-30,198.039
1964-12-31,202.335
1965-03-31,206.582
1965-06-30,210.488
1965-09-30,215.034
1965-12-31,219.449
1966-03-31,224.085
1966-06-30,227.382
1966-09-30,230.3
1966-12-31,232.742
1967-03-31,234.955
1967-06-30,237.21
1967-09-30,241.614
1967-12-31,245.974
1968-03-31,250.119
1968-06-30,253.803
1968-09-30,258.28
1968-12-31,262.934
1969-03-31,265.603
1969-06-30,269.871
1969-09-30,274.629
1969-12-31,278.689
1970-03-31,277.74
1970-06-30,278.865
1970-09-30,281.771
1970-12-31,286.015
1971-03-31,291.47
1971-06-30,295.43
1971-09-30,302.126
1971-12-31,309.454
1972-03-31,317.906
1972-06-30,324.324
1972-09-30,333.264
1972-12-31,343.552
1973-03-31,353.598
1973-06-30,361.862
1973-09-30,371.042
1973-12-31,382.218
1974-03-31,392.321
1974-06-30,400.813
1974-09-30,410.404
1974-12-31,419.339
1975-03-31,427.459
1975-06-30,435.481
1975-09-30,445.509
1975-12-31,459.087
1976-03-31,474.026
1976-06-30,485.633
1976-09-30,500.528
1976-12-31,517.073
1977-03-31,536.389
1977-06-30,556.489
1977-09-30,579.584
1977-12-31,602.997
1978-03-31,627.038
1978-06-30,650.88
1978-09-30,678.732
1978-12-31,708.641
1979-03-31,740.03
1979-06-30,766.252
1979-09-30,795.664
1979-12-31,826.724
1980-03-31,860.063
1980-06-30,875.72
1980-09-30,900.209
1980-12-31,926.526
1981-03-31,944.614
1981-06-30,966.081
1981-09-30,980.8
1981-12-31,998.261
1982-03-31,1012.723
1982-06-30,1021.85
1982-09-30,1017.038
1982-12-31,1031.175
1983-03-31,1033.17
1983-06-30,1057.024
1983-09-30,1085.787
1983-12-31,1116.384
1984-03-31,1153.101
1984-06-30,1182.19
1984-09-30,1210.049
1984-12-31,1243.294
1985-03-31,1316.829
1985-06-30,1348.447
1985-09-30,1402.267
1985-12-31,1450.249
1986-03-31,1489.804
1986-06-30,1529.839
1986-09-30,1589.114
1986-12-31,1649.024
1987-03-31,1694.524
1987-06-30,1757.67
1987-09-30,1804.085
1987-12-31,1829.012
1988-03-31,1887.976
1988-06-30,1946.178
1988-09-30,1999.611
1988-12-31,2055.294
1989-03-31,2092.542
1989-06-30,2143.831
1989-09-30,2205.558
1989-12-31,2260.581
1990-03-31,2341.845
1990-06-30,2396.456
1990-09-30,2444.404
1990-12-31,2489.811
1991-03-31,2539.212
1991-06-30,2594.63
1991-09-30,2614.925
1991-12-31,2667.879
1992-03-31,2717.076
1992-06-30,2745.769
1992-09-30,2791.932
1992-12-31,2840.902
1993-03-31,2865.467
1993-06-30,2915.005
1993-09-30,2957.538
1993-12-31,2999.676
1994-03-31,3042.085
1994-06-30,3082.411
1994-09-30,3118.955
1994-12-31,3166.443
1995-03-31,3204.269
1995-06-30,3245.219
1995-09-30,3286.334
1995-12-31,3320.508
1996-03-31,3397.073
1996-06-30,3449.816
1996-09-30,3490.823
1996-12-31,3538.631
1997-03-31,3590.815
1997-06-30,3636.213
1997-09-30,3707.975
1997-12-31,3746.359
1998-03-31,3826.39
1998-06-30,3893.243
1998-09-30,3953.38
1998-12-31,4048.59
1999-03-31,4153.25
1999-06-30,4237.784
1999-09-30,4339.892
1999-12-31,4424.263
2000-03-31,4513.835
2000-06-30,4609.398
2000-09-30,4708.939
2000-12-31,4805.227
2001-03-31,4918.586
2001-06-30,5061.833
2001-09-30,5204.307
2001-12-31,5311.785
2002-03-31,5475.22
2002-06-30,5618.341
2002-09-30,5805.268
2002-12-31,6016.313
2003-03-31,6191.631
2003-06-30,6423.524
2003-09-30,6661.501
2003-12-31,6895.613
2004-03-31,7078.004
2004-06-30,7330.371
2004-09-30,7569.69
2004-12-31,7840.578
2005-03-31,8059.916
2005-06-30,8339.405
2005-09-30,8617.805
2005-12-31,8902.867
2006-03-31,9195.169
2006-06-30,9505.624
2006-09-30,9737.876
2006-12-31,9899.344
2007-03-31,10078.05
2007-06-30,10290.394
2007-09-30,10469.719
2007-12-31,10577.134
2008-03-31,10648.327
2008-06-30,10644.878
2008-09-30,10624.272
2008-12-31,10540.066
2009-03-31,10546.791
2009-06-30,10522.713
2009-09-30,10454.659
2009-12-31,10406.753
2010-03-31,10281.899
2010-06-30,10221.678
2010-09-30,10125.25
2010-12-31,9957.898
2011-03-31,9927.038
2011-06-30,9871.631
2011-09-30,9802.497
2011-12-31,9754.939
2012-03-31,9698.25
2012-06-30,9636.194
2012-09-30,9560.297
2012-12-31,9506.994
2013-03-31,9469.157
2013-06-30,9432.015
2013-09-30,9414.874
2013-12-31,9395.044
2014-03-31,9372.687
2014-06-30,9353.133
2014-09-30,9335.629
2014-12-31,9341.508
2015-03-31,9328.394
2015-06-30,9356.322
2015-09-30,9375.474
