observation_date,QJPPAM770A
1964-10-01,110.8
1965-01-01,111.6
1965-04-01,111.5
1965-07-01,114.0
1965-10-01,117.8
1966-01-01,118.2
1966-04-01,116.4
1966-07-01,117.5
1966-10-01,118.4
1967-01-01,117.5
1967-04-01,117.0
1967-07-01,118.0
1967-10-01,119.2
1968-01-01,118.1
1968-04-01,116.7
1968-07-01,116.7
1968-10-01,116.9
1969-01-01,116.4
1969-04-01,116.0
1969-07-01,116.5
1969-10-01,118.8
1970-01-01,116.4
1970-04-01,115.6
1970-07-01,116.1
1970-10-01,118.8
1971-01-01,120.0
1971-04-01,122.3
1971-07-01,126.2
1971-10-01,131.9
1972-01-01,132.7
1972-04-01,133.3
1972-07-01,136.4
1972-10-01,140.8
1973-01-01,140.4
1973-04-01,139.2
1973-07-01,139.1
1973-10-01,139.3
1974-01-01,137.5
1974-04-01,135.0
1974-07-01,132.7
1974-10-01,133.1
1975-01-01,132.0
1975-04-01,132.1
1975-07-01,134.1
1975-10-01,137.4
1976-01-01,137.1
1976-04-01,136.5
1976-07-01,136.8
1976-10-01,138.5
1977-01-01,137.1
1977-04-01,135.7
1977-07-01,136.1
1977-10-01,137.0
1978-01-01,135.6
1978-04-01,134.0
1978-07-01,134.1
1978-10-01,136.0
1979-01-01,134.6
1979-04-01,134.0
1979-07-01,135.7
1979-10-01,138.5
1980-01-01,139.0
1980-04-01,139.0
1980-07-01,139.1
1980-10-01,140.1
1981-01-01,139.4
1981-04-01,138.3
1981-07-01,140.1
1981-10-01,143.5
1982-01-01,143.9
1982-04-01,143.8
1982-07-01,146.2
1982-10-01,149.2
1983-01-01,151.2
1983-04-01,151.0
1983-07-01,152.9
1983-10-01,155.7
1984-01-01,156.6
1984-04-01,155.4
1984-07-01,158.0
1984-10-01,159.4
1985-01-01,160.4
1985-04-01,159.0
1985-07-01,160.3
1985-10-01,162.0
1986-01-01,162.3
1986-04-01,161.8
1986-07-01,164.5
1986-10-01,168.3
1987-01-01,170.2
1987-04-01,176.3
1987-07-01,180.3
1987-10-01,183.7
1988-01-01,183.1
1988-04-01,183.5
1988-07-01,186.3
1988-10-01,190.0
1989-01-01,191.2
1989-04-01,192.6
1989-07-01,197.2
1989-10-01,201.0
1990-01-01,205.9
1990-04-01,204.3
1990-07-01,206.0
1990-10-01,207.6
1991-01-01,205.6
1991-04-01,204.5
1991-07-01,204.6
1991-10-01,206.3
1992-01-01,204.9
1992-04-01,204.8
1992-07-01,205.4
1992-10-01,208.6
1993-01-01,208.5
1993-04-01,209.2
1993-07-01,211.3
1993-10-01,213.6
1994-01-01,212.6
1994-04-01,211.3
1994-07-01,212.6
1994-10-01,214.2
1995-01-01,213.3
1995-04-01,211.2
1995-07-01,211.7
1995-10-01,212.5
1996-01-01,210.8
1996-04-01,208.8
1996-07-01,207.7
1996-10-01,208.5
1997-01-01,205.0
1997-04-01,203.9
1997-07-01,203.3
1997-10-01,206.2
1998-01-01,203.2
1998-04-01,202.8
1998-07-01,203.8
1998-10-01,199.3
1999-01-01,195.9
1999-04-01,193.9
1999-07-01,193.5
1999-10-01,196.3
2000-01-01,193.6
2000-04-01,189.7
2000-07-01,189.1
2000-10-01,187.5
2001-01-01,184.9
2001-04-01,182.3
2001-07-01,182.1
2001-10-01,182.8
2002-01-01,182.1
2002-04-01,180.8
2002-07-01,178.4
2002-10-01,179.0
2003-01-01,176.6
2003-04-01,173.4
2003-07-01,171.1
2003-10-01,171.0
2004-01-01,168.0
2004-04-01,165.5
2004-07-01,163.8
2004-10-01,164.0
2005-01-01,164.3
2005-04-01,162.1
2005-07-01,163.0
2005-10-01,163.5
2006-01-01,162.8
2006-04-01,161.8
2006-07-01,162.4
2006-10-01,162.6
2007-01-01,161.7
2007-04-01,158.7
2007-07-01,159.3
2007-10-01,160.4
2008-01-01,158.5
2008-04-01,160.8
2008-07-01,161.4
2008-10-01,165.5
2009-01-01,167.3
2009-04-01,169.0
2009-07-01,170.8
2009-10-01,172.0
2010-01-01,168.8
2010-04-01,167.0
2010-07-01,164.7
2010-10-01,163.1
2011-01-01,162.2
2011-04-01,162.1
2011-07-01,163.0
2011-10-01,163.4
2012-01-01,162.3
2012-04-01,159.2
2012-07-01,160.3
2012-10-01,161.5
2013-01-01,161.7
2013-04-01,160.4
2013-07-01,160.2
2013-10-01,160.3
2014-01-01,159.3
2014-04-01,157.5
2014-07-01,157.8
2014-10-01,158.5
2015-01-01,157.2
2015-04-01,154.8
2015-07-01,154.1
2015-10-01,154.4
2016-01-01,153.2
2016-04-01,153.7
2016-07-01,155.1
2016-10-01,156.6
2017-01-01,157.3
2017-04-01,156.6
2017-07-01,156.6
2017-10-01,157.1
2018-01-01,156.4
2018-04-01,157.1
2018-07-01,158.5
2018-10-01,160.4
2019-01-01,161.5
2019-04-01,162.2
2019-07-01,163.8
2019-10-01,165.9
2020-01-01,167.5
2020-04-01,179.2
2020-07-01,182.7
2020-10-01,184.8
2021-01-01,186.0
2021-04-01,183.8
2021-07-01,183.6
2021-10-01,185.3
2022-01-01,185.1
2022-04-01,186.1
2022-07-01,186.6
2022-10-01,187.3
2023-01-01,185.6
2023-04-01,184.2
2023-07-01,183.3
2023-10-01,182.8
2024-01-01,183.1
2024-04-01,182.5
2024-07-01,180.6
2024-10-01,181.4
