DATE,VALUE
1963-01-01,48.635
1963-04-01,50.13
1963-07-01,53.224
1963-10-01,56.805
1964-01-01,58.376999999999995
1964-04-01,60.18600000000001
1964-07-01,62.828
1964-10-01,66.286
1965-01-01,67.142
1965-04-01,68.344
1965-07-01,71.612
1965-10-01,76.032
1966-01-01,77.635
1966-04-01,79.282
1966-07-01,83.345
1966-10-01,88.256
1967-01-01,90.946
1967-04-01,93.37100000000001
1967-07-01,97.88
1967-10-01,102.775
1968-01-01,104.906
1968-04-01,106.992
1968-07-01,111.62299999999999
1968-10-01,118.042
1969-01-01,121.167
1969-04-01,124.679
1969-07-01,131.186
1969-10-01,138.589
1970-01-01,141.935
1970-04-01,146.303
1970-07-01,153.514
1970-10-01,162.713
1971-01-01,168.24200000000002
1971-04-01,175.43400000000003
1971-07-01,197.514
1971-10-01,225.678
1972-01-01,241.364
1972-04-01,255.03099999999998
1972-07-01,272.431
1972-10-01,296.256
1973-01-01,347.93699999999995
1973-04-01,365.795
1973-07-01,378.926
1973-10-01,377.38199999999995
1974-01-01,392.339
1974-04-01,392.209
1974-07-01,383.616
1974-10-01,395.189
1975-01-01,409.81699999999995
1975-04-01,419.59
1975-07-01,422.11699999999996
1975-10-01,438.13699999999994
1976-01-01,452.718
1976-04-01,464.38199999999995
1976-07-01,498.31199999999995
1976-10-01,507.69300000000004
1977-01-01,542.195
1977-04-01,570.2180000000001
1977-07-01,591.264
1977-10-01,675.676
1978-01-01,732.765
1978-04-01,807.341
1978-07-01,898.115
1978-10-01,922.811
1979-01-01,852.94
1979-04-01,833.008
1979-07-01,838.3610000000001
1979-10-01,801.98
1980-01-01,781.314
1980-04-01,907.75
1980-07-01,954.413
1980-10-01,1026.039
1981-01-01,1000.3530000000001
1981-04-01,939.675
1981-07-01,941.743
1981-10-01,1034.872
1982-01-01,934.89
1982-04-01,909.3860000000001
1982-07-01,894.937
1982-10-01,1054.847
1983-01-01,1048.063
1983-04-01,1051.029
1983-07-01,1100.329
