DATE,VALUE
1945-10-01,30.81
1946-01-01,33.453
1946-04-01,36.126
1946-07-01,38.828
1946-10-01,41.53
1947-01-01,44.013000000000005
1947-04-01,46.523999999999994
1947-07-01,49.062
1947-10-01,51.6
1948-01-01,53.067
1948-04-01,54.534
1948-07-01,56.016999999999996
1948-10-01,57.5
1949-01-01,58.129
1949-04-01,58.765
1949-07-01,59.407
1949-10-01,60.05
1950-01-01,63.18600000000001
1950-04-01,66.358
1950-07-01,69.564
1950-10-01,72.77
1951-01-01,75.265
1951-04-01,77.788
1951-07-01,80.339
1951-10-01,82.89
1952-01-01,83.65
1952-04-01,86.13
1952-07-01,88.69
1952-10-01,91.84
1953-01-01,93.86
1953-04-01,96.36
1953-07-01,98.62
1953-10-01,99.15
1954-01-01,100.07
1954-04-01,102.03
1954-07-01,104.48
1954-10-01,107.48
1955-01-01,110.51
1955-04-01,116.54
1955-07-01,121.43
1955-10-01,126.45
1956-01-01,129.45
1956-04-01,134.86
1956-07-01,138.14
1956-10-01,141.49
1957-01-01,143.23
1957-04-01,147.95
1957-07-01,150.16
1957-10-01,152.34
1958-01-01,151.54
1958-04-01,154.65
1958-07-01,157.67
1958-10-01,162.89
1959-01-01,164.89
1959-04-01,172.51
1959-07-01,178.35
1959-10-01,183.42
1960-01-01,185.91
1960-04-01,191.44
1960-07-01,194.85
1960-10-01,199.36
1961-01-01,201.83
1961-04-01,206.19
1961-07-01,210.0
1961-10-01,215.83
1962-01-01,218.35
1962-04-01,226.29
1962-07-01,232.7
1962-10-01,240.63
1963-01-01,244.39
1963-04-01,253.84
1963-07-01,260.51
1963-10-01,269.86
1964-01-01,274.45
1964-04-01,285.03
1964-07-01,292.24
1964-10-01,301.94
1965-01-01,308.65
1965-04-01,320.22
1965-07-01,328.01
1965-10-01,338.73
1966-01-01,343.96
1966-04-01,356.87
1966-07-01,361.32
1966-10-01,366.88
1967-01-01,368.34
1967-04-01,379.33
1967-07-01,384.1
1967-10-01,402.62
1968-01-01,399.29
1968-04-01,413.17
1968-07-01,421.16
1968-10-01,436.89
1969-01-01,442.67
1969-04-01,457.8
1969-07-01,463.88
1969-10-01,474.88
1970-01-01,471.69
1970-04-01,482.96
1970-07-01,491.46
1970-10-01,502.39
1971-01-01,506.63
1971-04-01,526.39
1971-07-01,543.63
1971-10-01,560.7
1972-01-01,573.51
1972-04-01,601.55
1972-07-01,621.29
1972-10-01,649.6
1973-01-01,679.17
1973-04-01,713.45
1973-07-01,740.11
1973-10-01,759.45
1974-01-01,773.78
1974-04-01,807.46
1974-07-01,827.86
1974-10-01,842.35
1975-01-01,836.81
1975-04-01,852.29
1975-07-01,862.51
1975-10-01,880.37
1976-01-01,888.56
1976-04-01,917.84
1976-07-01,941.26
1976-10-01,969.75
1977-01-01,994.19
1977-04-01,1038.05
1977-07-01,1076.18
1977-10-01,1115.71
1978-01-01,1146.42
1978-04-01,1199.76
1978-07-01,1240.92
1978-10-01,1281.08
1979-01-01,1310.51
1979-04-01,1356.97
1979-07-01,1407.0
1979-10-01,1442.7
1980-01-01,1463.92
1980-04-01,1459.51
1980-07-01,1486.05
1980-10-01,1533.11
1981-01-01,1543.16
1981-04-01,1581.18
1981-07-01,1619.68
1981-10-01,1643.76
1982-01-01,1655.93
1982-04-01,1681.95
1982-07-01,1691.01
1982-10-01,1696.33
1983-01-01,1698.82
1983-04-01,1734.33
1983-07-01,1786.44
1983-10-01,1857.38
1984-01-01,1919.68
1984-04-01,2009.59
1984-07-01,2080.22
1984-10-01,2164.53
1985-01-01,2204.79
1985-04-01,2267.88
1985-07-01,2324.08
1985-10-01,2405.26
1986-01-01,2420.61
1986-04-01,2457.36
1986-07-01,2505.99
1986-10-01,2604.43
1987-01-01,2601.05
1987-04-01,2668.06
1987-07-01,2735.98
1987-10-01,2796.63
1988-01-01,2851.18
1988-04-01,2928.77
1988-07-01,2985.05
1988-10-01,3048.97
1989-01-01,3074.35
1989-04-01,3135.07
1989-07-01,3173.93
1989-10-01,3191.57
1990-01-01,3220.17
1990-04-01,3212.03
1990-07-01,3199.96
1990-10-01,3172.43
1991-01-01,3127.5
1991-04-01,3099.35
1991-07-01,3044.82
1991-10-01,3025.33
1992-01-01,2984.14
1992-04-01,2953.39
1992-07-01,2942.44
1992-10-01,2928.39
1993-01-01,2905.62
1993-04-01,2933.8
1993-07-01,2948.14
1993-10-01,2990.55
1994-01-01,2996.21
1994-04-01,3062.65
1994-07-01,3133.89
1994-10-01,3215.12
1995-01-01,3280.7
1995-04-01,3363.28
1995-07-01,3418.71
1995-10-01,3459.83
1996-01-01,3481.53
1996-04-01,3548.97
1996-07-01,3625.17
1996-10-01,3663.25
1997-01-01,3712.76
1997-04-01,3801.36
1997-07-01,3845.96
1997-10-01,3914.85
1998-01-01,3958.98
1998-04-01,4031.84
1998-07-01,4117.95
1998-10-01,4228.91
1999-01-01,4256.66
1999-04-01,4315.78
1999-07-01,4445.08
1999-10-01,4596.74
2000-01-01,4725.47
2000-04-01,4886.76
2000-07-01,4993.43
2000-10-01,5064.58
2001-01-01,5087.9
2001-04-01,5130.04
2001-07-01,5155.8
2001-10-01,5205.03
2002-01-01,5176.01
2002-04-01,5180.82
2002-07-01,5310.68
2002-10-01,5402.75
2003-01-01,5478.53
2003-04-01,5585.77
2003-07-01,5673.1
2003-10-01,5775.79
2004-01-01,5857.84
2004-04-01,6030.09
2004-07-01,6176.14
2004-10-01,6372.32
2005-01-01,6493.95
2005-04-01,6715.51
2005-07-01,6926.31
2005-10-01,7053.55
2006-01-01,7213.59
2006-04-01,7408.19
2006-07-01,7567.65
2006-10-01,7708.13
2007-01-01,7755.64
2007-04-01,7939.84
2007-07-01,8179.86
2007-10-01,8387.89
2008-01-01,8530.0
2008-04-01,8564.77
2008-07-01,8615.44
2008-10-01,8663.11
2009-01-01,8517.16
2009-04-01,8341.02
2009-07-01,8109.23
2009-10-01,7936.6
2010-01-01,8176.88
2010-04-01,8075.57
2010-07-01,8042.31
2010-10-01,7953.11
2011-01-01,7797.15
2011-04-01,7784.33
2011-07-01,7867.99
2011-10-01,7972.1
2012-01-01,7894.19
2012-04-01,7991.53
2012-07-01,8050.52
2012-10-01,8185.92
2013-01-01,8092.85
