DATE,RREACBM027SBOG
2004-06-01,1406.7199
2004-07-01,1399.9287
2004-08-01,1410.6291
2004-09-01,1426.0508
2004-10-01,1442.2022
2004-11-01,1458.0511
2004-12-01,1473.3154
2005-01-01,1482.5743
2005-02-01,1499.7044
2005-03-01,1531.2903
2005-04-01,1547.9478
2005-05-01,1545.4949
2005-06-01,1566.5948
2005-07-01,1595.6452
2005-08-01,1622.5711
2005-09-01,1625.6082
2005-10-01,1633.1923
2005-11-01,1643.6078
2005-12-01,1655.3576
2006-01-01,1657.5019
2006-02-01,1668.8139
2006-03-01,1678.8969
2006-04-01,1693.9969
2006-05-01,1705.1748
2006-06-01,1725.2835
2006-07-01,1737.6585
2006-08-01,1732.7936
2006-09-01,1745.7799
2006-10-01,1871.6268
2006-11-01,1887.3049
2006-12-01,1911.6228
2007-01-01,1924.7862
2007-02-01,1943.625
2007-03-01,1878.1358
2007-04-01,1891.7097
2007-05-01,1902.0204
2007-06-01,1910.1435
2007-07-01,1918.2059
2007-08-01,1927.88
2007-09-01,1949.7727
2007-10-01,1992.741
2007-11-01,2010.799
2007-12-01,2011.627
2008-01-01,2014.732
2008-02-01,2016.2259
2008-03-01,2020.5439
2008-04-01,2022.7823
2008-05-01,2004.681
2008-06-01,1980.5838
2008-07-01,1967.5589
2008-08-01,1964.8452
2008-09-01,1990.3529
2008-10-01,2103.4016
2008-11-01,2100.1359
2008-12-01,2090.5275
2009-01-01,2078.4956
2009-02-01,2103.0065
2009-03-01,2103.9616
2009-04-01,2122.7737
2009-05-01,2164.1211
2009-06-01,2155.1779
2009-07-01,2142.4492
2009-08-01,2125.2432
2009-09-01,2086.5384
2009-10-01,2074.3848
2009-11-01,2146.733
2009-12-01,2135.6238
2010-01-01,2128.1924
2010-02-01,2100.1891
2010-03-01,2094.8154
2010-04-01,2113.3298
2010-05-01,2112.1978
2010-06-01,2107.0957
2010-07-01,2098.0313
2010-08-01,2101.3402
2010-09-01,2100.145
2010-10-01,2099.2254
2010-11-01,2108.9842
2010-12-01,2112.8216
2011-01-01,2111.7173
2011-02-01,2086.9099
2011-03-01,2066.7359
2011-04-01,2055.7537
2011-05-01,2048.7366
2011-06-01,2048.5515
2011-07-01,2051.792
2011-08-01,2055.0681
2011-09-01,2055.9136
2011-10-01,2071.8239
2011-11-01,2081.4778
2011-12-01,2076.5673
2012-01-01,2092.3321
2012-02-01,2109.6155
2012-03-01,2114.6746
2012-04-01,2111.4201
2012-05-01,2116.4614
2012-06-01,2107.9322
2012-07-01,2102.5954
2012-08-01,2105.7109
2012-09-01,2108.7117
2012-10-01,2104.7554
2012-11-01,2131.2794
2012-12-01,2122.347
2013-01-01,2127.439
2013-02-01,2122.3469
2013-03-01,2115.7348
2013-04-01,2115.3516
2013-05-01,2101.1695
2013-06-01,2096.6921
2013-07-01,2080.9286
2013-08-01,2062.7826
2013-09-01,2054.6051
2013-10-01,2043.1496
2013-11-01,2037.9842
2013-12-01,2033.3444
2014-01-01,2029.4661
2014-02-01,2029.7139
2014-03-01,2036.1291
2014-04-01,2039.8857
2014-05-01,2039.6195
2014-06-01,2047.4083
2014-07-01,2043.2437
2014-08-01,2043.9198
2014-09-01,2040.4144
2014-10-01,2034.3044
2014-11-01,2032.2802
2014-12-01,2033.1105
2015-01-01,2038.1838
2015-02-01,2045.8466
2015-03-01,2056.0292
2015-04-01,2058.7865
2015-05-01,2057.6176
2015-06-01,2063.3446
