Time Series Search Export,Search term,Search filters,,Last update of Debt service ratios data,Downloaded at,Source,Source URL,Download URL,About Debt service ratios
,,,,2025-06-16,2025-09-08 15:43 CEST,BIS,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.P?view=chart,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.P?view=chart&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/DSR

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,DSR_BORROWERS:Borrowers,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,1999-03-31,F:Free,,A:Normal value,20.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,1999-06-30,F:Free,,A:Normal value,20.1
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,1999-09-30,F:Free,,A:Normal value,19.9
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,1999-12-31,F:Free,,A:Normal value,20.0
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2000-03-31,F:Free,,A:Normal value,19.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2000-06-30,F:Free,,A:Normal value,19.2
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2000-09-30,F:Free,,A:Normal value,19.1
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2000-12-31,F:Free,,A:Normal value,19.0
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2001-03-31,F:Free,,A:Normal value,18.8
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2001-06-30,F:Free,,A:Normal value,18.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2001-09-30,F:Free,,A:Normal value,18.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2001-12-31,F:Free,,A:Normal value,18.9
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2002-03-31,F:Free,,A:Normal value,18.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2002-06-30,F:Free,,A:Normal value,18.4
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2002-09-30,F:Free,,A:Normal value,18.1
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2002-12-31,F:Free,,A:Normal value,18.0
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2003-03-31,F:Free,,A:Normal value,17.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2003-06-30,F:Free,,A:Normal value,17.4
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2003-09-30,F:Free,,A:Normal value,17.2
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2003-12-31,F:Free,,A:Normal value,17.1
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2004-03-31,F:Free,,A:Normal value,16.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2004-06-30,F:Free,,A:Normal value,16.3
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2004-09-30,F:Free,,A:Normal value,16.0
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2004-12-31,F:Free,,A:Normal value,16.0
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2005-03-31,F:Free,,A:Normal value,16.0
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2005-06-30,F:Free,,A:Normal value,15.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2005-09-30,F:Free,,A:Normal value,15.8
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2005-12-31,F:Free,,A:Normal value,15.8
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2006-03-31,F:Free,,A:Normal value,15.8
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2006-06-30,F:Free,,A:Normal value,15.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2006-09-30,F:Free,,A:Normal value,15.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2006-12-31,F:Free,,A:Normal value,15.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2007-03-31,F:Free,,A:Normal value,15.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2007-06-30,F:Free,,A:Normal value,15.4
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2007-09-30,F:Free,,A:Normal value,15.4
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2007-12-31,F:Free,,A:Normal value,15.5
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2008-03-31,F:Free,,A:Normal value,15.3
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2008-06-30,F:Free,,A:Normal value,15.3
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2008-09-30,F:Free,,A:Normal value,15.3
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2008-12-31,F:Free,,A:Normal value,15.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2009-03-31,F:Free,,A:Normal value,15.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2009-06-30,F:Free,,A:Normal value,15.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2009-09-30,F:Free,,A:Normal value,15.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2009-12-31,F:Free,,A:Normal value,15.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2010-03-31,F:Free,,A:Normal value,15.2
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2010-06-30,F:Free,,A:Normal value,15.0
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2010-09-30,F:Free,,A:Normal value,14.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2010-12-31,F:Free,,A:Normal value,14.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2011-03-31,F:Free,,A:Normal value,14.5
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2011-06-30,F:Free,,A:Normal value,14.5
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2011-09-30,F:Free,,A:Normal value,14.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2011-12-31,F:Free,,A:Normal value,14.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2012-03-31,F:Free,,A:Normal value,14.5
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2012-06-30,F:Free,,A:Normal value,14.3
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2012-09-30,F:Free,,A:Normal value,14.3
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2012-12-31,F:Free,,A:Normal value,14.3
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2013-03-31,F:Free,,A:Normal value,14.3
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2013-06-30,F:Free,,A:Normal value,14.1
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2013-09-30,F:Free,,A:Normal value,14.1
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2013-12-31,F:Free,,A:Normal value,14.2
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2014-03-31,F:Free,,A:Normal value,14.2
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2014-06-30,F:Free,,A:Normal value,14.1
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2014-09-30,F:Free,,A:Normal value,14.2
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2014-12-31,F:Free,,A:Normal value,14.3
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2015-03-31,F:Free,,A:Normal value,14.2
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2015-06-30,F:Free,,A:Normal value,13.9
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2015-09-30,F:Free,,A:Normal value,13.8
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2015-12-31,F:Free,,A:Normal value,13.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2016-03-31,F:Free,,A:Normal value,13.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2016-06-30,F:Free,,A:Normal value,13.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2016-09-30,F:Free,,A:Normal value,13.7
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2016-12-31,F:Free,,A:Normal value,13.9
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,2017-03-31,F:Free,,A:Normal value,14.0
