DATAFLOW_ID:Dataflow ID,"BIS,WS_DSR,1.0","BIS,WS_DSR,1.0","BIS,WS_DSR,1.0"
KEY:Timeseries Key,Q.JP.H,Q.JP.N,Q.JP.P
FREQ:Frequency,Q:Quarterly,Q:Quarterly,Q:Quarterly
BORROWERS_CTY:Borrowers' country,JP:Japan,JP:Japan,JP:Japan
DSR_BORROWERS:Borrowers,H:Households & NPISHs,N:Non-financial corporations,P:Private non-financial sector
Unit,Per cent,Per cent,Per cent
Unit multiplier,Units,Units,Units
TIME_PERIOD:Period
1999-03-31,8.9,58.8,20.6
1999-06-30,8.7,57.2,20.1
1999-09-30,8.8,55.8,19.9
1999-12-31,8.9,55.8,20.0
2000-03-31,8.9,53.5,19.6
2000-06-30,8.8,51.4,19.2
2000-09-30,8.8,50.3,19.1
2000-12-31,8.9,49.3,19.0
2001-03-31,8.8,48.6,18.8
2001-06-30,8.8,47.9,18.7
2001-09-30,9.0,47.9,18.7
2001-12-31,9.0,48.2,18.9
2002-03-31,9.0,47.5,18.7
2002-06-30,8.9,46.2,18.4
2002-09-30,8.9,44.3,18.1
2002-12-31,8.9,43.5,18.0
2003-03-31,8.9,42.3,17.7
2003-06-30,8.8,41.1,17.4
2003-09-30,8.8,40.1,17.2
2003-12-31,8.8,39.8,17.1
2004-03-31,8.7,38.2,16.7
2004-06-30,8.6,36.9,16.3
2004-09-30,8.5,35.8,16.0
2004-12-31,8.5,35.6,16.0
2005-03-31,8.2,36.4,16.0
2005-06-30,8.2,35.8,15.7
2005-09-30,8.2,36.1,15.8
2005-12-31,8.2,36.2,15.8
2006-03-31,8.2,36.1,15.8
2006-06-30,8.1,36.0,15.6
2006-09-30,8.0,36.5,15.7
2006-12-31,8.0,36.7,15.7
2007-03-31,7.9,36.4,15.6
2007-06-30,7.9,35.4,15.4
2007-09-30,7.8,35.6,15.4
2007-12-31,7.8,36.0,15.5
2008-03-31,7.8,35.4,15.3
2008-06-30,7.7,36.2,15.3
2008-09-30,7.6,36.4,15.3
2008-12-31,7.6,37.9,15.6
2009-03-31,7.5,38.8,15.6
2009-06-30,7.4,39.4,15.6
2009-09-30,7.4,39.9,15.6
2009-12-31,7.4,39.9,15.6
2010-03-31,7.3,37.9,15.2
2010-06-30,7.2,36.5,15.0
2010-09-30,7.2,35.0,14.7
2010-12-31,7.2,34.2,14.6
2011-03-31,7.1,34.0,14.5
2011-06-30,7.1,34.5,14.5
2011-09-30,7.0,35.3,14.6
2011-12-31,7.0,35.8,14.6
2012-03-31,7.0,35.5,14.5
2012-06-30,7.0,34.3,14.3
2012-09-30,7.0,34.5,14.3
2012-12-31,7.0,34.5,14.3
2013-03-31,7.0,34.2,14.3
2013-06-30,7.0,33.4,14.1
2013-09-30,7.0,33.0,14.1
2013-12-31,7.0,32.9,14.2
2014-03-31,7.0,32.7,14.2
2014-06-30,7.1,32.5,14.1
2014-09-30,7.1,32.9,14.2
2014-12-31,7.1,33.0,14.3
2015-03-31,7.1,32.1,14.2
2015-06-30,7.1,30.7,13.9
2015-09-30,7.1,29.9,13.8
2015-12-31,7.0,29.6,13.7
2016-03-31,7.0,29.1,13.6
2016-06-30,7.0,29.3,13.6
2016-09-30,7.0,29.9,13.7
2016-12-31,7.0,30.4,13.9
2017-03-31,7.0,30.5,14.0
2017-06-30,7.0,30.2,13.9
2017-09-30,7.1,29.9,13.9
2017-12-31,7.1,29.8,13.9
2018-03-31,7.1,29.5,13.9
2018-06-30,7.2,29.7,14.0
2018-09-30,7.2,30.3,14.1
2018-12-31,7.2,31.0,14.2
2019-03-31,7.2,31.6,14.4
2019-06-30,7.2,32.1,14.4
2019-09-30,7.2,32.8,14.6
2019-12-31,7.3,33.6,14.7
2020-03-31,7.3,34.2,14.8
2020-06-30,7.1,38.0,15.3
2020-09-30,7.1,38.9,15.4
2020-12-31,7.2,38.9,15.5
2021-03-31,7.2,38.7,15.5
2021-06-30,7.4,37.1,15.7
2021-09-30,7.5,36.5,15.7
2021-12-31,7.5,36.7,15.8
2022-03-31,7.5,36.7,15.8
2022-06-30,7.5,37.1,15.9
2022-09-30,7.5,37.6,16.0
2022-12-31,7.5,38.0,16.1
2023-03-31,7.6,37.5,16.1
2023-06-30,7.6,36.9,16.1
2023-09-30,7.6,36.3,16.1
2023-12-31,7.7,35.9,16.2
2024-03-31,7.7,35.9,16.2
2024-06-30,7.8,35.7,16.1
2024-09-30,7.7,35.3,16.0
2024-12-31,7.8,35.6,16.1
