データコード,LA01'DLHLLKG71_DLHL2DBSL
系列名称,"住宅資金／残高／個人向け貸出金／銀行勘定／国内銀行"
2002/03,739783
2002/06,751339
2002/09,756189
2002/12,771315
2003/03,787358
2003/06,799236
2003/09,821628
2003/12,841108
2004/03,837530
2004/06,843276
2004/09,853909
2004/12,869861
2005/03,880280
2005/06,888195
2005/09,904795
2005/12,924371
2006/03,937449
2006/06,942962
2006/09,909217
2006/12,919382
2007/03,928382
2007/06,933583
2007/09,939838
2007/12,949759
2008/03,963799
2008/06,971904
2008/09,977456
2008/12,980901
2009/03,997482
2009/06,975208
2009/09,983412
2009/12,994273
2010/03,1006191
2010/06,1010271
2010/09,1019403
2010/12,1027050
2011/03,1033840
2011/06,1034260
2011/09,1039976
2011/12,1048827
2012/03,1059306
2012/06,1062995
2012/09,1071359
2012/12,1082148
2013/03,1093582
2013/06,1096545
2013/09,1103712
2013/12,1112888
2014/03,1125050
2014/06,1126226
2014/09,1134067
2014/12,1140123
2015/03,1152550
2015/06,1152503
2015/09,1153827
2015/12,1158181
2016/03,1167775
2016/06,1172805
2016/09,1183820
2016/12,1192462
2017/03,1205873
2017/06,1210646
2017/09,1217570
2017/12,1225100
2018/03,1228999
2018/06,1233721
2018/09,1239369
2018/12,1245750
2019/03,1257765
2019/06,1263248
2019/09,1272784
2019/12,1277762
2020/03,1287022
2020/06,1293940
2020/09,1302222
2020/12,1317443
2021/03,1330472
2021/06,1340510
2021/09,1351007
2021/12,1365900
2022/03,1375285
2022/06,1386578
2022/09,1395557
2022/12,1407041
2023/03,1416533
2023/06,1425659
2023/09,1436367
2023/12,1452230
2024/03,1468134
2024/06,1483318
2024/09,1497467
2024/12,1512590
