データコード,LA01'DLHLLKG71_DLHL2DBFL
系列名称,"住宅資金／新規貸出／個人向け貸出金／銀行勘定／国内銀行"
2002/03,41715
2002/06,32280
2002/09,41972
2002/12,38416
2003/03,43300
2003/06,35598
2003/09,50543
2003/12,39946
2004/03,42779
2004/06,34060
2004/09,44792
2004/12,38984
2005/03,46200
2005/06,34935
2005/09,45162
2005/12,42557
2006/03,53527
2006/06,35507
2006/09,39940
2006/12,35003
2007/03,45402
2007/06,32160
2007/09,35899
2007/12,34623
2008/03,44729
2008/06,34919
2008/09,36351
2008/12,33615
2009/03,43152
2009/06,34020
2009/09,35774
2009/12,32674
2010/03,39554
2010/06,27268
2010/09,35087
2010/12,30940
2011/03,37254
2011/06,25666
2011/09,33917
2011/12,31771
2012/03,40871
2012/06,29494
2012/09,37108
2012/12,35164
2013/03,41571
2013/06,33182
2013/09,36603
2013/12,33635
2014/03,43111
2014/06,27439
2014/09,34764
2014/12,32415
2015/03,42871
2015/06,30212
2015/09,35524
2015/12,30155
2016/03,41053
2016/06,39663
2016/09,44333
2016/12,38277
2017/03,45342
2017/06,32662
2017/09,35916
2017/12,34107
2018/03,40893
2018/06,31330
2018/09,34406
2018/12,32147
2019/03,41398
2019/06,32247
2019/09,39390
2019/12,30891
2020/03,40274
2020/06,29991
2020/09,36456
2020/12,38716
2021/03,41977
2021/06,36462
2021/09,39061
2021/12,38851
2022/03,43214
2022/06,36873
2022/09,38274
2022/12,35807
2023/03,42937
2023/06,35567
2023/09,40085
2023/12,40634
2024/03,46352
2024/06,41453
2024/09,43915
2024/12,41206
